Source,Target,Weight
10103808680,10103584900,0.0122
10101800682,10260041071,0.2951
10260289240,10260322490,0.5227
10100231402,10200044047,0.1081
10100686779,10200044047,0.037
10861736062,10100433825,0.0317
10102801942,10100433825,0.0158
10102801942,10103525426,0.0849
10101165910,10103525426,0.0361
10100686779,10100539090,0.0858
10100433825,10460096368,0.9999
10102194601,10103024860,0.9499
10101165910,10103972003,0.6872
10320591652,10103972003,0.0151
10101826594,10102967236,0.4705
10000000001,10320814852,0.9999
10103584900,10000000010,0.05
10103525426,10000000010,0.0334
10100582059,10000000012,0.09
10103389006,10000000017,0.1566
10100443908,10102901102,0.7632
10260085303,10480037917,0.95
10101236571,10260482101,0.6369
10100834967,10102801942,1.0
10100834967,10101165910,1.0
10100834967,14004003162,1.0
10100834967,10320718470,0.13
