"","list_of_ownership_names",""
"1",10101786601,0.00082416
"2",10100443908,0.00546312
"3",10780060750,0.0008976
"4",10100711365,0.012440924496
"5",10100453064,0.02450448
"6",10260063258,3.979951872e-05
"7",10320053498,5.3664138e-05
"8",10102830088,0.00213847417354746
"9",10100518071,1.57550560985946e-22
"10",10102583274,8.7070464e-05
"11",10100941473,3.73280719590426e-20
"12",10100957800,0.0134274
"13",10101339590,0.6394
"14",10100977983,0.20320132
"15",10100641966,9.33201798976065e-21
"16",10861977157,0.00020678196
"17",10320798438,1.51963389441824e-05
"18",10100427917,0.00472872
"19",10100231402,3.64531952725026e-23
"20",10100503545,0.1907252992
"21",10103270201,0.000228202643947826
"22",10100382645,0.172654771460092
"23",10320826196,0.000408
"24",14009058908,4.85113180504288e-06
"25",10102247441,0.001981473624
"26",10102931830,5.52583144736526e-05
"27",10102558524,0.63933606
"28",10100834967,1.8924672e-05
"29",10103808680,0.0275708011670914
"30",10103225320,0.027489350024
"31",10100393826,0.00421464
"32",10102203401,6.38794924497545e-05
"33",10102946956,0.00114101321973913
"34",10100679553,0.00153504371232
"35",10101972093,3.70227764486354e-24
"36",10101795696,0.000183109992
"37",10103800056,0.0520143890968448
"38",10861450700,9.16995003338304e-06
"39",10200248803,0.0409896500768694
"40",10100509458,0.000416917537843882
"41",10101887744,0.000132588057287992
"42",10102593454,0.564598886998
"43",10860736052,8.43396811402125e-06
"44",10860238958,0.13737001301141
"45",14005432871,2.9162556218002e-21
"46",10840118827,1.86640359795213e-20
"47",10260328063,1.86640359795213e-20
"48",10240049946,0.000673678553362809
"49",10680033968,0.000339288629625974
"50",10100402567,0.005814982056
"51",10861412626,0.00272495983105542
"52",10740034217,0.0243417889009557
"53",10100835286,0.00694824
"54",10260279270,0.0004028720125872
"55",10100339921,0.0708126430545164
"56",10101007595,0.0824826
"57",10861651780,0.0775012158886932
"58",10101823437,0.005758006488
"59",10101725582,0.005537052456
"60",10860393596,0.0413749941792553
"61",10860385410,0.0451393059912704
"62",10102402553,0.00351768889315621
"63",10530184352,0.00049368
"64",10100450900,0.017304723916
"65",10102350203,0.0030158481848408
"66",10100711350,0.0038857436380464
"67",10102901102,0.004169453184
"68",10102328820,0.00953284112560114
"69",14004932504,5.83251124360041e-22
"70",10101850423,1.16899471183051e-06
"71",10861808525,0.000749308030871233
"72",10861533126,9.33201798976065e-21
"73",10320202522,0.000242556590252144
"74",10101156935,0.003219416616
"75",10100999659,0.00373120488
"76",10260206130,3.78684167184745e-05
"77",10100613721,0.000203758464
"78",10100429427,0.00121176
"79",10861926358,0.000250511647494847
"80",10101138294,0.00045696
"81",10102849101,5.08317537682902e-05
"82",10000000001,6.11840541264643e-05
"83",10103749172,0.0133715853284017
"84",10260496984,0.00863103681
"85",10100277750,1.16650224872008e-21
"86",10100984757,1.59859143760306e-05
"87",10101701799,1.86640359795213e-20
"88",10101662543,0.150404778916
"89",10102906939,3.16355104689148e-05
"90",10100515216,0.0005508
"91",10100495902,0.00365976
"92",10860445038,0.0169287239155016
"93",10860515050,0.000171034794816773
"94",10101800682,0.000894670762601603
"95",10200092392,0.0115040309794432
"96",10220048615,0.00358632
"97",10260244573,0.172168373585157
"98",10980296959,5.44574786696606e-05
"99",10860541940,0.000192355919396205
"100",10100418567,0.000140212584599219
"101",10861529526,1.91285922359895e-05
"102",10102541065,9.47783077085066e-22
"103",14007396254,0.04047402
"104",10103838251,0.0729049583542067
"105",10100127830,0.000268675345194404
"106",10100360794,0.00213882563375951
"107",10100326014,0.000858738491954443
"108",10103992454,6.37930917268795e-23
"109",10100394490,0.00209169580036038
"110",10100288420,0.00308856
"111",10100323537,0.0117708
"112",10420002350,0.00062424
"113",10861220664,0.00329896176343905
"114",10860260078,0.0506334082592431
"115",10100994352,0.000570394582269888
"116",10100353165,2.32325824690328e-05
"117",10420082717,0.00814640509590667
"118",10380275609,3.7397237876747e-05
"119",10861824398,0.07323254178345
"120",10100422509,0.001190413848
"121",10380192345,0.00348024
"122",10101726150,0.000632927517025198
"123",10100313060,0.003672
"124",10861572410,1.8353216975739e-07
"125",10100607716,0.0002406811032384
"126",10860555136,0.000108084450373753
"127",10860328848,8.5222632e-05
"128",10480041969,9.11329881812564e-24
"129",10102340228,0.000735756018013271
"130",10102404600,0.00125827112034072
"131",10100377816,0.00354144
"132",10102801085,2.05049223407827e-23
"133",10100326962,0.00607104
"134",10101634157,0.000759816947209122
"135",10101431259,6.34403350174955e-05
"136",10100401610,0.63933606
"137",10103500247,0.00136510821609589
"138",10100399042,0.000322707744070398
"139",10101267070,0.000378714133809259
"140",10103698106,4.66600899488033e-21
"141",10100320247,0.00210759118884093
"142",10460002140,1.88602104483608e-05
"143",14006444985,8.15592e-05
"144",10860251887,6.09833183229277e-06
"145",10980196817,0.00372096
"146",14005921810,6.3376894682478e-05
"147",10103122715,0.0446908797670554
"148",10100239199,0.223983669444
"149",10100470757,0.01734816
"150",10103382392,0.0587438026542378
"151",10101236571,0.058749677622
"152",10100582059,2.332638027932e-05
"153",10200101232,0.0012620256
"154",10100434484,0.008577423884
"155",10000000002,0.0422481460375227
"156",10100686779,0.0408
"157",10000000003,0.0358665925008761
"158",10260276866,1.86640359795213e-20
"159",10101011750,0.000969476039424547
"160",10102194601,0.026221112820822
"161",10100302746,0.00612408
"162",10260298230,5.83251124360041e-22
"163",10630146473,0.00536112
"164",10101683349,0.000918064426006178
"165",10100282064,0.00533664
"166",10320701236,4.08862893993554e-05
"167",10102347321,0.0114101321973913
"168",10100364988,0.154764321321816
"169",10101094555,0.32794826
"170",10320061053,0.000113985
